archive,sample_dir,label,control_rpm,file_count,total_bytes
healthy.tar,healthy_20250426_154040_400rpm_20250426_154043,healthy,400,18,779710
healthy.tar,healthy_20250426_154040_400rpm_20250426_154044,healthy,400,18,754270
healthy.tar,healthy_20250426_154040_400rpm_20250426_154045,healthy,400,18,753584
healthy.tar,healthy_20250426_154040_400rpm_20250426_154046,healthy,400,18,752398
healthy.tar,healthy_20250426_154040_400rpm_20250426_154047,healthy,400,18,751875
healthy.tar,healthy_20250426_154040_400rpm_20250426_154048,healthy,400,18,753661
healthy.tar,healthy_20250426_154040_400rpm_20250426_154049,healthy,400,18,753574
healthy.tar,healthy_20250426_154040_400rpm_20250426_154050,healthy,400,18,754628
healthy.tar,healthy_20250426_154040_400rpm_20250426_154051,healthy,400,18,755000
healthy.tar,healthy_20250426_154040_400rpm_20250426_154052,healthy,400,18,753388
healthy.tar,healthy_20250426_154040_400rpm_20250426_154053,healthy,400,18,751089
healthy.tar,healthy_20250426_154040_400rpm_20250426_154054,healthy,400,18,747733
healthy.tar,healthy_20250426_154040_400rpm_20250426_154055,healthy,400,18,748817
healthy.tar,healthy_20250426_154040_400rpm_20250426_154056,healthy,400,18,752126
healthy.tar,healthy_20250426_154040_400rpm_20250426_154057,healthy,400,18,750986
healthy.tar,healthy_20250426_154040_400rpm_20250426_154058,healthy,400,18,756421
healthy.tar,healthy_20250426_154040_400rpm_20250426_154059,healthy,400,18,756703
healthy.tar,healthy_20250426_154040_400rpm_20250426_154100,healthy,400,18,756003
healthy.tar,healthy_20250426_154040_400rpm_20250426_154101,healthy,400,18,753564
healthy.tar,healthy_20250426_154040_400rpm_20250426_154102,healthy,400,18,751615
healthy.tar,healthy_20250426_154040_400rpm_20250426_154103,healthy,400,18,753624
healthy.tar,healthy_20250426_154040_400rpm_20250426_154104,healthy,400,18,755313
healthy.tar,healthy_20250426_154040_400rpm_20250426_154105,healthy,400,18,753563
healthy.tar,healthy_20250426_154040_400rpm_20250426_154106,healthy,400,18,750130
healthy.tar,healthy_20250426_154040_400rpm_20250426_154107,healthy,400,18,750594
healthy.tar,healthy_20250426_154040_400rpm_20250426_154108,healthy,400,18,753074
healthy.tar,healthy_20250426_154040_400rpm_20250426_154109,healthy,400,18,750078
healthy.tar,healthy_20250426_154040_400rpm_20250426_154110,healthy,400,18,752599
healthy.tar,healthy_20250426_154040_400rpm_20250426_154111,healthy,400,18,753377
healthy.tar,healthy_20250426_154040_400rpm_20250426_154112,healthy,400,18,753055
healthy.tar,healthy_20250426_154040_400rpm_20250426_154113,healthy,400,18,752827
healthy.tar,healthy_20250426_154040_400rpm_20250426_154114,healthy,400,18,757792
healthy.tar,healthy_20250426_154040_400rpm_20250426_154115,healthy,400,18,756194
healthy.tar,healthy_20250426_154040_400rpm_20250426_154116,healthy,400,18,755024
healthy.tar,healthy_20250426_154040_400rpm_20250426_154117,healthy,400,18,754570
healthy.tar,healthy_20250426_154040_400rpm_20250426_154118,healthy,400,18,753841
healthy.tar,healthy_20250426_154040_400rpm_20250426_154119,healthy,400,18,753426
healthy.tar,healthy_20250426_154040_400rpm_20250426_154120,healthy,400,18,750929
healthy.tar,healthy_20250426_154040_400rpm_20250426_154121,healthy,400,18,751044
healthy.tar,healthy_20250426_154040_400rpm_20250426_154122,healthy,400,18,756042
healthy.tar,healthy_20250426_154040_400rpm_20250426_154123,healthy,400,18,752864
healthy.tar,healthy_20250426_154040_400rpm_20250426_154124,healthy,400,18,753362
healthy.tar,healthy_20250426_154040_400rpm_20250426_154125,healthy,400,18,753310
healthy.tar,healthy_20250426_154040_400rpm_20250426_154126,healthy,400,18,746700
healthy.tar,healthy_20250426_154040_400rpm_20250426_154127,healthy,400,18,746367
healthy.tar,healthy_20250426_154040_400rpm_20250426_154128,healthy,400,18,753737
healthy.tar,healthy_20250426_154040_400rpm_20250426_154129,healthy,400,18,756379
healthy.tar,healthy_20250426_154040_400rpm_20250426_154130,healthy,400,18,756888
healthy.tar,healthy_20250426_154040_400rpm_20250426_154131,healthy,400,18,759276
healthy.tar,healthy_20250426_154040_400rpm_20250426_154132,healthy,400,18,754226
healthy.tar,healthy_20250426_154040_400rpm_20250426_154133,healthy,400,18,762632
healthy.tar,healthy_20250426_154040_400rpm_20250426_154134,healthy,400,18,758026
healthy.tar,healthy_20250426_154040_400rpm_20250426_154135,healthy,400,18,757999
healthy.tar,healthy_20250426_154040_400rpm_20250426_154136,healthy,400,18,759570
healthy.tar,healthy_20250426_154040_400rpm_20250426_154137,healthy,400,18,759000
healthy.tar,healthy_20250426_154040_400rpm_20250426_154138,healthy,400,18,759315
healthy.tar,healthy_20250426_154040_400rpm_20250426_154139,healthy,400,18,761465
healthy.tar,healthy_20250426_154040_400rpm_20250426_154140,healthy,400,18,767338
healthy.tar,healthy_20250426_154040_400rpm_20250426_154141,healthy,400,18,763529
healthy.tar,healthy_20250426_154040_400rpm_20250426_154142,healthy,400,18,768905
healthy.tar,healthy_20250426_154040_400rpm_20250426_154143,healthy,400,18,766552
healthy.tar,healthy_20250426_154040_400rpm_20250426_154144,healthy,400,18,765820
healthy.tar,healthy_20250426_154040_400rpm_20250426_154145,healthy,400,18,766996
healthy.tar,healthy_20250426_154040_400rpm_20250426_154146,healthy,400,18,765091
healthy.tar,healthy_20250426_154040_400rpm_20250426_154147,healthy,400,18,767421
healthy.tar,healthy_20250426_154040_400rpm_20250426_154148,healthy,400,18,769468
healthy.tar,healthy_20250426_154040_400rpm_20250426_154149,healthy,400,18,769123
healthy.tar,healthy_20250426_154040_400rpm_20250426_154150,healthy,400,18,774642
healthy.tar,healthy_20250426_154040_400rpm_20250426_154151,healthy,400,18,769632
healthy.tar,healthy_20250426_154040_400rpm_20250426_154152,healthy,400,18,769967
healthy.tar,healthy_20250426_154040_400rpm_20250426_154153,healthy,400,18,770504
healthy.tar,healthy_20250426_154040_400rpm_20250426_154154,healthy,400,18,759773
healthy.tar,healthy_20250426_154040_400rpm_20250426_154155,healthy,400,18,761000
healthy.tar,healthy_20250426_154040_400rpm_20250426_154156,healthy,400,18,765120
healthy.tar,healthy_20250426_154040_400rpm_20250426_154157,healthy,400,18,765275
healthy.tar,healthy_20250426_154040_400rpm_20250426_154158,healthy,400,18,768911
healthy.tar,healthy_20250426_154040_400rpm_20250426_154159,healthy,400,18,766624
healthy.tar,healthy_20250426_154040_400rpm_20250426_154200,healthy,400,18,769369
healthy.tar,healthy_20250426_154040_400rpm_20250426_154201,healthy,400,18,765950
healthy.tar,healthy_20250426_154040_400rpm_20250426_154202,healthy,400,18,765277
healthy.tar,healthy_20250426_154040_400rpm_20250426_154203,healthy,400,18,763848
healthy.tar,healthy_20250426_154040_400rpm_20250426_154204,healthy,400,18,766977
healthy.tar,healthy_20250426_154040_400rpm_20250426_154205,healthy,400,18,761919
healthy.tar,healthy_20250426_154040_400rpm_20250426_154206,healthy,400,18,759712
healthy.tar,healthy_20250426_154040_400rpm_20250426_154207,healthy,400,18,760751
healthy.tar,healthy_20250426_154040_400rpm_20250426_154208,healthy,400,18,765894
healthy.tar,healthy_20250426_154040_400rpm_20250426_154209,healthy,400,18,765246
healthy.tar,healthy_20250426_154040_400rpm_20250426_154210,healthy,400,18,768729
healthy.tar,healthy_20250426_154040_400rpm_20250426_154211,healthy,400,18,767618
healthy.tar,healthy_20250426_154040_400rpm_20250426_154212,healthy,400,18,766449
healthy.tar,healthy_20250426_154040_400rpm_20250426_154213,healthy,400,18,766377
healthy.tar,healthy_20250426_154040_400rpm_20250426_154214,healthy,400,18,766727
